date,sales_value
2020-02-06 12:00:00,2651.9699999999966
2020-02-06 13:00:00,2143.0799999999986
2020-02-06 14:00:00,2754.249999999998
2020-02-06 15:00:00,2869.2299999999996
2020-02-06 16:00:00,2600.240000000002
2020-02-06 17:00:00,2334.0599999999995
2020-02-06 18:00:00,2299.6100000000006
2020-02-06 19:00:00,2318.7000000000003
2020-02-06 20:00:00,1789.5900000000026
2020-02-06 21:00:00,1550.3299999999992
2020-02-06 22:00:00,1053.64
2020-02-06 23:00:00,1190.6700000000005
2020-02-07 00:00:00,95.76
2020-02-07 01:00:00,362.33999999999986
2020-02-07 02:00:00,402.4300000000001
2020-02-07 03:00:00,569.8900000000002
2020-02-07 04:00:00,326.65000000000015
2020-02-07 05:00:00,415.79999999999995
2020-02-07 06:00:00,1564.1800000000007
2020-02-07 07:00:00,2004.6099999999988
2020-02-07 08:00:00,2519.220000000001
2020-02-07 09:00:00,2747.529999999998
2020-02-07 10:00:00,2795.2499999999964
2020-02-07 11:00:00,3325.820000000005
2020-02-07 12:00:00,2525.8699999999994
2020-02-07 13:00:00,2227.249999999998
2020-02-07 14:00:00,1834.279999999999
2020-02-07 15:00:00,2066.06
2020-02-07 16:00:00,2108.609999999999
2020-02-07 17:00:00,1603.63
2020-02-07 18:00:00,1675.630000000001
2020-02-07 19:00:00,2271.769999999997
2020-02-07 20:00:00,1777.5
2020-02-07 21:00:00,1295.79
2020-02-07 22:00:00,1638.4200000000008
2020-02-07 23:00:00,891.5800000000012
2020-02-08 00:00:00,184.85999999999999
2020-02-08 01:00:00,1194.9899999999984
2020-02-08 02:00:00,308.0700000000001
2020-02-08 03:00:00,1059.8500000000006
2020-02-08 04:00:00,362.69000000000005
2020-02-08 05:00:00,557.8799999999999
2020-02-08 06:00:00,842.2200000000006
2020-02-08 07:00:00,1209.14
2020-02-08 08:00:00,2087.1600000000008
2020-02-08 09:00:00,1493.1000000000004
2020-02-08 10:00:00,1514.4799999999996
2020-02-08 11:00:00,1979.229999999998
2020-02-08 12:00:00,2215.809999999999
2020-02-08 13:00:00,1499.3200000000015
2020-02-08 14:00:00,2116.0299999999997
2020-02-08 15:00:00,1716.0899999999988
2020-02-08 16:00:00,2490.829999999996
2020-02-08 17:00:00,2340.370000000001
2020-02-08 18:00:00,2156.4
2020-02-08 19:00:00,4180.53999999999
2020-02-08 20:00:00,1880.9799999999973
2020-02-08 21:00:00,1798.3600000000017
2020-02-08 22:00:00,935.48
2020-02-08 23:00:00,650.3399999999997
2020-02-09 00:00:00,473.6600000000003
2020-02-09 01:00:00,389.6499999999998
2020-02-09 02:00:00,216.4
2020-02-09 03:00:00,247.69999999999993
2020-02-09 04:00:00,445.3699999999998
2020-02-09 05:00:00,505.8099999999997
2020-02-09 06:00:00,954.8700000000007
2020-02-09 07:00:00,1696.0900000000013
2020-02-09 08:00:00,1364.7300000000027
2020-02-09 09:00:00,3072.229999999998
2020-02-09 10:00:00,2650.809999999997
2020-02-09 11:00:00,2436.42
2020-02-09 12:00:00,3194.369999999996
2020-02-09 13:00:00,3154.9500000000003
2020-02-09 14:00:00,2064.09
2020-02-09 15:00:00,1921.180000000003
2020-02-09 16:00:00,2578.4300000000035
2020-02-09 17:00:00,2122.239999999997
2020-02-09 18:00:00,2355.300000000001
2020-02-09 19:00:00,2896.670000000001
2020-02-09 20:00:00,3120.600000000011
2020-02-09 21:00:00,1790.3899999999985
2020-02-09 22:00:00,1099.3599999999988
2020-02-09 23:00:00,695.7900000000001
2020-02-10 00:00:00,167.03000000000003
2020-02-10 01:00:00,149.28999999999996
2020-02-10 02:00:00,630.3199999999999
2020-02-10 03:00:00,502.54000000000013
2020-02-10 04:00:00,729.4500000000004
2020-02-10 05:00:00,1211.8599999999979
2020-02-10 06:00:00,1493.620000000001
2020-02-10 07:00:00,1971.9000000000015
2020-02-10 08:00:00,2750.2999999999993
2020-02-10 09:00:00,2283.2800000000007
2020-02-10 10:00:00,3006.7200000000016
2020-02-10 11:00:00,2942.560000000003
2020-02-10 12:00:00,3130.2499999999973
2020-02-10 13:00:00,4130.960000000002
2020-02-10 14:00:00,2763.0099999999957
2020-02-10 15:00:00,2341.1899999999987
2020-02-10 16:00:00,2208.2799999999997
2020-02-10 17:00:00,2013.1200000000022
2020-02-10 18:00:00,1774.5200000000002
2020-02-10 19:00:00,2420.85
2020-02-10 20:00:00,2383.6399999999985
2020-02-10 21:00:00,821.5700000000002
2020-02-10 22:00:00,1096.7899999999997
2020-02-10 23:00:00,714.3700000000005
2020-02-11 00:00:00,214.92999999999998
2020-02-11 01:00:00,369.06000000000034
2020-02-11 02:00:00,191.14
2020-02-11 03:00:00,332.08000000000004
2020-02-11 04:00:00,811.1799999999997
2020-02-11 05:00:00,873.4200000000004
2020-02-11 06:00:00,2178.8500000000004
2020-02-11 07:00:00,2118.200000000001
2020-02-11 08:00:00,3400.3399999999974
2020-02-11 09:00:00,3962.3500000000004
2020-02-11 10:00:00,1779.2299999999998
2020-02-11 11:00:00,3322.690000000001
2020-02-11 12:00:00,3600.459999999996
2020-02-11 13:00:00,3135.2900000000013
2020-02-11 14:00:00,3349.5199999999923
2020-02-11 15:00:00,1959.75
2020-02-11 16:00:00,2072.0899999999992
2020-02-11 17:00:00,1663.9899999999989
2020-02-11 18:00:00,2096.63
2020-02-11 19:00:00,2695.1800000000003
2020-02-11 20:00:00,2699.319999999999
2020-02-11 21:00:00,2754.1300000000024
2020-02-11 22:00:00,2111.95
2020-02-11 23:00:00,404.3000000000002
2020-02-12 00:00:00,413.67
2020-02-12 01:00:00,424.46000000000015
2020-02-12 02:00:00,501.9700000000001
2020-02-12 03:00:00,445.28000000000003
2020-02-12 04:00:00,682.8699999999997
2020-02-12 05:00:00,1072.4699999999998
2020-02-12 06:00:00,1559.3399999999997
2020-02-12 07:00:00,1509.410000000001
2020-02-12 08:00:00,2238.3099999999995
2020-02-12 09:00:00,3117.5200000000036
2020-02-12 10:00:00,2832.4999999999955
2020-02-12 11:00:00,2718.8
2020-02-12 12:00:00,2864.1099999999997
2020-02-12 13:00:00,3027.390000000002
2020-02-12 14:00:00,3323.8699999999963
2020-02-12 15:00:00,2818.130000000001
2020-02-12 16:00:00,1692.070000000001
2020-02-12 17:00:00,2164.5400000000004
2020-02-12 18:00:00,2782.039999999997
2020-02-12 19:00:00,4794.250000000004
2020-02-12 20:00:00,2175.510000000001
2020-02-12 21:00:00,1866.670000000001
2020-02-12 22:00:00,1288.8600000000006
2020-02-12 23:00:00,567.4700000000003
2020-02-13 00:00:00,352.4600000000001
2020-02-13 01:00:00,449.65999999999997
2020-02-13 02:00:00,541.81
2020-02-13 03:00:00,177.68999999999997
2020-02-13 04:00:00,1090.689999999999
2020-02-13 05:00:00,1313.7200000000012
2020-02-13 06:00:00,2183.17
2020-02-13 07:00:00,2465.6400000000017
2020-02-13 08:00:00,3638.8599999999965
2020-02-13 09:00:00,2925.7500000000014
2020-02-13 10:00:00,2280.3799999999983
2020-02-13 11:00:00,2500.0599999999995
2020-02-13 12:00:00,2782.270000000002
2020-02-13 13:00:00,3232.4399999999923
2020-02-13 14:00:00,2756.319999999992
2020-02-13 15:00:00,2194.160000000001
2020-02-13 16:00:00,1722.5800000000004
2020-02-13 17:00:00,1753.2300000000018
2020-02-13 18:00:00,2040.86
2020-02-13 19:00:00,1854.6600000000003
2020-02-13 20:00:00,2298.8900000000044
2020-02-13 21:00:00,1705.3499999999951
2020-02-13 22:00:00,808.7800000000001
2020-02-13 23:00:00,424.15000000000003
2020-02-14 00:00:00,689.8699999999999
2020-02-14 01:00:00,246.70000000000013
2020-02-14 02:00:00,425.0500000000004
2020-02-14 03:00:00,871.3799999999998
2020-02-14 04:00:00,395.1700000000003
2020-02-14 05:00:00,955.5399999999995
2020-02-14 06:00:00,1075.1800000000005
2020-02-14 07:00:00,2745.2400000000016
2020-02-14 08:00:00,2046.190000000002
2020-02-14 09:00:00,2084.9900000000025
2020-02-14 10:00:00,1797.1999999999957
